,FIPS Code,JUL21 SNAP Households
408,13115,7676
409,13117,3259
410,13119,1880
411,13121,83729
412,13123,1612
413,13125,217
414,13127,6115
415,13129,3525
416,13131,2354
417,13133,1273
418,13135,38755
419,13137,2378
420,13139,8422
421,13141,968
422,13143,2578
423,13145,1232
424,13147,1982
425,13149,1017
426,13151,14725
427,13153,9689
428,13155,879
429,13157,3274
430,13159,1038
431,13161,1579
432,13163,1869
433,13165,1079
434,13167,989
435,13169,1740
436,13171,1691
437,13173,969
438,13175,5978
439,13177,1861
440,13179,4646
441,13181,640
442,13183,1256
443,13185,10561
444,13187,1527
445,13189,2443
446,13191,1110
447,13193,1395
448,13195,1971
449,13197,862
450,13199,2201
451,13201,680
452,13205,2842
453,13207,1658
454,13209,811
455,13211,1235
456,13213,3365
457,13215,20739
458,13217,9738
459,13219,702
460,13221,940
461,13223,7333
462,13225,2626
463,13227,1608
464,13229,1606
465,13231,935
466,13233,4183
467,13235,866
468,13237,1624
469,13239,288
470,13241,809
471,13243,1104
472,13245,22359
473,13247,7367
474,13249,370
475,13251,1609
476,13253,1171
477,13255,7451
478,13257,2524
479,13259,670
480,13261,4353
481,13263,749
482,13265,173
483,13267,1905
484,13269,972
485,13271,1481
486,13273,1529
487,13275,4601
488,13277,4298
489,13279,3051
490,13281,555
491,13283,779
492,13285,6325
493,13287,1155
494,13289,936
495,13291,1021
496,13293,3437
497,13295,4769
498,13297,5587
499,13299,4278
500,13301,743
501,13303,2205
502,13305,2803
503,13307,277
504,13309,596
505,13311,1414
506,13313,6279
507,13315,856
508,13317,1110
509,13319,997
510,13321,2239
511,14000,13528
512,15001,27547
513,15003,64606
514,15007,6152
515,15009,13595
516,16000,62194
517,17001,8017
518,17003,0
519,17005,0
520,17011,3243
521,17012,1853
522,17015,0
523,17017,1485
524,17019,15436
525,17021,2997
526,17025,0
527,17027,0
528,17029,13181
529,17031,496553
530,17033,1898
531,17037,6664
532,17041,0
533,17043,35574
534,17045,0
