,Geography,Geographic Area Name,Families with No workers in past year,Families receiving food stamps/SNAP with No workers in past year,County,State
671,0500000US47113,"Madison County, Tennessee",3702,1086,Madison County, Tennessee
673,0500000US47125,"Montgomery County, Tennessee",7864,1605,Montgomery County, Tennessee
675,0500000US47147,"Robertson County, Tennessee",2610,799,Robertson County, Tennessee
676,0500000US47149,"Rutherford County, Tennessee",8023,684,Rutherford County, Tennessee
677,0500000US47155,"Sevier County, Tennessee",4358,994,Sevier County, Tennessee
678,0500000US47157,"Shelby County, Tennessee",30367,8389,Shelby County, Tennessee
679,0500000US47163,"Sullivan County, Tennessee",10446,2631,Sullivan County, Tennessee
680,0500000US47165,"Sumner County, Tennessee",7714,1018,Sumner County, Tennessee
681,0500000US47179,"Washington County, Tennessee",5593,586,Washington County, Tennessee
684,0500000US48005,"Angelina County, Texas",3955,259,Angelina County, Texas
686,0500000US48027,"Bell County, Texas",11421,1828,Bell County, Texas
687,0500000US48029,"Bexar County, Texas",63892,14719,Bexar County, Texas
689,0500000US48039,"Brazoria County, Texas",10957,1696,Brazoria County, Texas
690,0500000US48041,"Brazos County, Texas",5031,479,Brazos County, Texas
691,0500000US48061,"Cameron County, Texas",16064,4464,Cameron County, Texas
692,0500000US48085,"Collin County, Texas",25979,2081,Collin County, Texas
695,0500000US48113,"Dallas County, Texas",64368,14476,Dallas County, Texas
696,0500000US48121,"Denton County, Texas",22747,2557,Denton County, Texas
697,0500000US48135,"Ector County, Texas",3954,1394,Ector County, Texas
698,0500000US48139,"Ellis County, Texas",6519,425,Ellis County, Texas
699,0500000US48141,"El Paso County, Texas",26809,7858,El Paso County, Texas
700,0500000US48157,"Fort Bend County, Texas",24508,1484,Fort Bend County, Texas
701,0500000US48167,"Galveston County, Texas",12584,1242,Galveston County, Texas
702,0500000US48181,"Grayson County, Texas",5923,286,Grayson County, Texas
703,0500000US48183,"Gregg County, Texas",3615,561,Gregg County, Texas
704,0500000US48187,"Guadalupe County, Texas",7274,1419,Guadalupe County, Texas
705,0500000US48201,"Harris County, Texas",133273,36518,Harris County, Texas
707,0500000US48209,"Hays County, Texas",6779,0,Hays County, Texas
709,0500000US48215,"Hidalgo County, Texas",31160,11262,Hidalgo County, Texas
711,0500000US48245,"Jefferson County, Texas",9389,2324,Jefferson County, Texas
715,0500000US48303,"Lubbock County, Texas",10170,2117,Lubbock County, Texas
716,0500000US48309,"McLennan County, Texas",7599,731,McLennan County, Texas
718,0500000US48339,"Montgomery County, Texas",22958,3004,Montgomery County, Texas
719,0500000US48355,"Nueces County, Texas",13576,3670,Nueces County, Texas
720,0500000US48361,"Orange County, Texas",4270,605,Orange County, Texas
722,0500000US48375,"Potter County, Texas",3865,627,Potter County, Texas
726,0500000US48423,"Smith County, Texas",9995,1861,Smith County, Texas
728,0500000US48439,"Tarrant County, Texas",52332,6545,Tarrant County, Texas
729,0500000US48441,"Taylor County, Texas",5837,777,Taylor County, Texas
731,0500000US48453,"Travis County, Texas",29122,3267,Travis County, Texas
734,0500000US48479,"Webb County, Texas",7121,2800,Webb County, Texas
735,0500000US48485,"Wichita County, Texas",3814,761,Wichita County, Texas
736,0500000US48491,"Williamson County, Texas",17627,1346,Williamson County, Texas
738,0500000US49005,"Cache County, Utah",3176,343,Cache County, Utah
739,0500000US49011,"Davis County, Utah",8326,642,Davis County, Utah
740,0500000US49035,"Salt Lake County, Utah",27068,2552,Salt Lake County, Utah
742,0500000US49049,"Utah County, Utah",11389,381,Utah County, Utah
744,0500000US49057,"Weber County, Utah",8363,987,Weber County, Utah
750,0500000US51041,"Chesterfield County, Virginia",14468,1301,Chesterfield County, Virginia
751,0500000US51059,"Fairfax County, Virginia",28903,2417,Fairfax County, Virginia
755,0500000US51087,"Henrico County, Virginia",8768,1213,Henrico County, Virginia
757,0500000US51107,"Loudoun County, Virginia",7793,121,Loudoun County, Virginia
759,0500000US51153,"Prince William County, Virginia",9497,345,Prince William County, Virginia
762,0500000US51177,"Spotsylvania County, Virginia",4117,138,Spotsylvania County, Virginia
763,0500000US51179,"Stafford County, Virginia",3949,293,Stafford County, Virginia
766,0500000US51550,"Chesapeake city, Virginia",7172,796,Chesapeake city, Virginia
767,0500000US51650,"Hampton city, Virginia",4684,762,Hampton city, Virginia
769,0500000US51700,"Newport News city, Virginia",5369,1562,Newport News city, Virginia
770,0500000US51710,"Norfolk city, Virginia",6226,2305,Norfolk city, Virginia
771,0500000US51740,"Portsmouth city, Virginia",5196,1773,Portsmouth city, Virginia
772,0500000US51760,"Richmond city, Virginia",5992,1975,Richmond city, Virginia
774,0500000US51800,"Suffolk city, Virginia",4304,770,Suffolk city, Virginia
775,0500000US51810,"Virginia Beach city, Virginia",13477,1681,Virginia Beach city, Virginia
776,0500000US53005,"Benton County, Washington",9417,1470,Benton County, Washington
779,0500000US53011,"Clark County, Washington",20978,3196,Clark County, Washington
780,0500000US53015,"Cowlitz County, Washington",5042,319,Cowlitz County, Washington
781,0500000US53021,"Franklin County, Washington",2145,611,Franklin County, Washington
782,0500000US53025,"Grant County, Washington",3171,913,Grant County, Washington
783,0500000US53027,"Grays Harbor County, Washington",5444,1112,Grays Harbor County, Washington
785,0500000US53033,"King County, Washington",64536,9740,King County, Washington
786,0500000US53035,"Kitsap County, Washington",14711,1553,Kitsap County, Washington
787,0500000US53041,"Lewis County, Washington",4006,671,Lewis County, Washington
789,0500000US53053,"Pierce County, Washington",30168,4966,Pierce County, Washington
790,0500000US53057,"Skagit County, Washington",8758,1558,Skagit County, Washington
791,0500000US53061,"Snohomish County, Washington",28592,4408,Snohomish County, Washington
792,0500000US53063,"Spokane County, Washington",22458,5073,Spokane County, Washington
793,0500000US53067,"Thurston County, Washington",15709,3096,Thurston County, Washington
794,0500000US53073,"Whatcom County, Washington",10673,2051,Whatcom County, Washington
795,0500000US53077,"Yakima County, Washington",7907,2141,Yakima County, Washington
797,0500000US54011,"Cabell County, West Virginia",4596,1373,Cabell County, West Virginia
798,0500000US54033,"Harrison County, West Virginia",3949,887,Harrison County, West Virginia
799,0500000US54039,"Kanawha County, West Virginia",12339,2303,Kanawha County, West Virginia
802,0500000US54107,"Wood County, West Virginia",5075,1589,Wood County, West Virginia
803,0500000US55009,"Brown County, Wisconsin",10259,1249,Brown County, Wisconsin
805,0500000US55025,"Dane County, Wisconsin",18170,1515,Dane County, Wisconsin
806,0500000US55027,"Dodge County, Wisconsin",2953,121,Dodge County, Wisconsin
810,0500000US55059,"Kenosha County, Wisconsin",7003,1001,Kenosha County, Wisconsin
812,0500000US55071,"Manitowoc County, Wisconsin",4965,664,Manitowoc County, Wisconsin
813,0500000US55073,"Marathon County, Wisconsin",5857,447,Marathon County, Wisconsin
814,0500000US55079,"Milwaukee County, Wisconsin",30342,9185,Milwaukee County, Wisconsin
815,0500000US55087,"Outagamie County, Wisconsin",7168,395,Outagamie County, Wisconsin
818,0500000US55101,"Racine County, Wisconsin",7938,671,Racine County, Wisconsin
819,0500000US55105,"Rock County, Wisconsin",6448,856,Rock County, Wisconsin
821,0500000US55111,"Sauk County, Wisconsin",2865,293,Sauk County, Wisconsin
822,0500000US55117,"Sheboygan County, Wisconsin",4994,361,Sheboygan County, Wisconsin
823,0500000US55127,"Walworth County, Wisconsin",4621,312,Walworth County, Wisconsin
825,0500000US55133,"Waukesha County, Wisconsin",18942,1040,Waukesha County, Wisconsin
826,0500000US55139,"Winnebago County, Wisconsin",7427,576,Winnebago County, Wisconsin
827,0500000US55141,"Wood County, Wisconsin",5022,477,Wood County, Wisconsin
831,0500000US72021,"Bayamón Municipio, Puerto Rico",14758,8003,Bayamón Municipio, Puerto Rico
832,0500000US72025,"Caguas Municipio, Puerto Rico",7588,4239,Caguas Municipio, Puerto Rico
833,0500000US72031,"Carolina Municipio, Puerto Rico",10463,5912,Carolina Municipio, Puerto Rico
834,0500000US72061,"Guaynabo Municipio, Puerto Rico",5627,1753,Guaynabo Municipio, Puerto Rico
836,0500000US72113,"Ponce Municipio, Puerto Rico",11656,7624,Ponce Municipio, Puerto Rico
837,0500000US72127,"San Juan Municipio, Puerto Rico",23670,13701,San Juan Municipio, Puerto Rico
838,0500000US72135,"Toa Alta Municipio, Puerto Rico",4018,1856,Toa Alta Municipio, Puerto Rico
839,0500000US72137,"Toa Baja Municipio, Puerto Rico",4295,2243,Toa Baja Municipio, Puerto Rico
840,0500000US72139,"Trujillo Alto Municipio, Puerto Rico",3521,1089,Trujillo Alto Municipio, Puerto Rico
