,Geography,Geographic Area Name,Families with No workers in past year,Families receiving food stamps/SNAP with No workers in past year,Gap,County,State
537,0500000US48375,"Potter County, Texas",3865,627,3238,Potter County, Texas
538,0500000US48423,"Smith County, Texas",9995,1861,8134,Smith County, Texas
539,0500000US48439,"Tarrant County, Texas",52332,6545,45787,Tarrant County, Texas
540,0500000US48441,"Taylor County, Texas",5837,777,5060,Taylor County, Texas
541,0500000US48453,"Travis County, Texas",29122,3267,25855,Travis County, Texas
542,0500000US48479,"Webb County, Texas",7121,2800,4321,Webb County, Texas
543,0500000US48485,"Wichita County, Texas",3814,761,3053,Wichita County, Texas
544,0500000US48491,"Williamson County, Texas",17627,1346,16281,Williamson County, Texas
545,0500000US49005,"Cache County, Utah",3176,343,2833,Cache County, Utah
546,0500000US49011,"Davis County, Utah",8326,642,7684,Davis County, Utah
547,0500000US49035,"Salt Lake County, Utah",27068,2552,24516,Salt Lake County, Utah
548,0500000US49049,"Utah County, Utah",11389,381,11008,Utah County, Utah
549,0500000US49057,"Weber County, Utah",8363,987,7376,Weber County, Utah
550,0500000US51041,"Chesterfield County, Virginia",14468,1301,13167,Chesterfield County, Virginia
551,0500000US51059,"Fairfax County, Virginia",28903,2417,26486,Fairfax County, Virginia
552,0500000US51087,"Henrico County, Virginia",8768,1213,7555,Henrico County, Virginia
553,0500000US51107,"Loudoun County, Virginia",7793,121,7672,Loudoun County, Virginia
554,0500000US51153,"Prince William County, Virginia",9497,345,9152,Prince William County, Virginia
555,0500000US51177,"Spotsylvania County, Virginia",4117,138,3979,Spotsylvania County, Virginia
556,0500000US51179,"Stafford County, Virginia",3949,293,3656,Stafford County, Virginia
557,0500000US51550,"Chesapeake city, Virginia",7172,796,6376,Chesapeake city, Virginia
558,0500000US51650,"Hampton city, Virginia",4684,762,3922,Hampton city, Virginia
559,0500000US51700,"Newport News city, Virginia",5369,1562,3807,Newport News city, Virginia
560,0500000US51710,"Norfolk city, Virginia",6226,2305,3921,Norfolk city, Virginia
561,0500000US51740,"Portsmouth city, Virginia",5196,1773,3423,Portsmouth city, Virginia
562,0500000US51760,"Richmond city, Virginia",5992,1975,4017,Richmond city, Virginia
563,0500000US51800,"Suffolk city, Virginia",4304,770,3534,Suffolk city, Virginia
564,0500000US51810,"Virginia Beach city, Virginia",13477,1681,11796,Virginia Beach city, Virginia
565,0500000US53005,"Benton County, Washington",9417,1470,7947,Benton County, Washington
566,0500000US53011,"Clark County, Washington",20978,3196,17782,Clark County, Washington
567,0500000US53015,"Cowlitz County, Washington",5042,319,4723,Cowlitz County, Washington
568,0500000US53021,"Franklin County, Washington",2145,611,1534,Franklin County, Washington
569,0500000US53025,"Grant County, Washington",3171,913,2258,Grant County, Washington
570,0500000US53027,"Grays Harbor County, Washington",5444,1112,4332,Grays Harbor County, Washington
571,0500000US53033,"King County, Washington",64536,9740,54796,King County, Washington
572,0500000US53035,"Kitsap County, Washington",14711,1553,13158,Kitsap County, Washington
573,0500000US53041,"Lewis County, Washington",4006,671,3335,Lewis County, Washington
574,0500000US53053,"Pierce County, Washington",30168,4966,25202,Pierce County, Washington
575,0500000US53057,"Skagit County, Washington",8758,1558,7200,Skagit County, Washington
576,0500000US53061,"Snohomish County, Washington",28592,4408,24184,Snohomish County, Washington
577,0500000US53063,"Spokane County, Washington",22458,5073,17385,Spokane County, Washington
578,0500000US53067,"Thurston County, Washington",15709,3096,12613,Thurston County, Washington
579,0500000US53073,"Whatcom County, Washington",10673,2051,8622,Whatcom County, Washington
580,0500000US53077,"Yakima County, Washington",7907,2141,5766,Yakima County, Washington
581,0500000US54011,"Cabell County, West Virginia",4596,1373,3223,Cabell County, West Virginia
582,0500000US54033,"Harrison County, West Virginia",3949,887,3062,Harrison County, West Virginia
583,0500000US54039,"Kanawha County, West Virginia",12339,2303,10036,Kanawha County, West Virginia
584,0500000US54107,"Wood County, West Virginia",5075,1589,3486,Wood County, West Virginia
585,0500000US55009,"Brown County, Wisconsin",10259,1249,9010,Brown County, Wisconsin
586,0500000US55025,"Dane County, Wisconsin",18170,1515,16655,Dane County, Wisconsin
587,0500000US55027,"Dodge County, Wisconsin",2953,121,2832,Dodge County, Wisconsin
588,0500000US55059,"Kenosha County, Wisconsin",7003,1001,6002,Kenosha County, Wisconsin
589,0500000US55071,"Manitowoc County, Wisconsin",4965,664,4301,Manitowoc County, Wisconsin
590,0500000US55073,"Marathon County, Wisconsin",5857,447,5410,Marathon County, Wisconsin
591,0500000US55079,"Milwaukee County, Wisconsin",30342,9185,21157,Milwaukee County, Wisconsin
592,0500000US55087,"Outagamie County, Wisconsin",7168,395,6773,Outagamie County, Wisconsin
593,0500000US55101,"Racine County, Wisconsin",7938,671,7267,Racine County, Wisconsin
594,0500000US55105,"Rock County, Wisconsin",6448,856,5592,Rock County, Wisconsin
595,0500000US55111,"Sauk County, Wisconsin",2865,293,2572,Sauk County, Wisconsin
596,0500000US55117,"Sheboygan County, Wisconsin",4994,361,4633,Sheboygan County, Wisconsin
597,0500000US55127,"Walworth County, Wisconsin",4621,312,4309,Walworth County, Wisconsin
598,0500000US55133,"Waukesha County, Wisconsin",18942,1040,17902,Waukesha County, Wisconsin
599,0500000US55139,"Winnebago County, Wisconsin",7427,576,6851,Winnebago County, Wisconsin
600,0500000US55141,"Wood County, Wisconsin",5022,477,4545,Wood County, Wisconsin
601,0500000US72021,"Bayamón Municipio, Puerto Rico",14758,8003,6755,Bayamón Municipio, Puerto Rico
602,0500000US72025,"Caguas Municipio, Puerto Rico",7588,4239,3349,Caguas Municipio, Puerto Rico
603,0500000US72031,"Carolina Municipio, Puerto Rico",10463,5912,4551,Carolina Municipio, Puerto Rico
604,0500000US72061,"Guaynabo Municipio, Puerto Rico",5627,1753,3874,Guaynabo Municipio, Puerto Rico
605,0500000US72113,"Ponce Municipio, Puerto Rico",11656,7624,4032,Ponce Municipio, Puerto Rico
606,0500000US72127,"San Juan Municipio, Puerto Rico",23670,13701,9969,San Juan Municipio, Puerto Rico
607,0500000US72135,"Toa Alta Municipio, Puerto Rico",4018,1856,2162,Toa Alta Municipio, Puerto Rico
608,0500000US72137,"Toa Baja Municipio, Puerto Rico",4295,2243,2052,Toa Baja Municipio, Puerto Rico
609,0500000US72139,"Trujillo Alto Municipio, Puerto Rico",3521,1089,2432,Trujillo Alto Municipio, Puerto Rico
