FIPS,Jan22 SNAP Households,Jan22 ACP Total Households,State,State Name,County Name,Oct22 ACP Total Households,Latest SNAP to ACP Difference
26007,2350,1731,MI,MICHIGAN,ALPENA COUNTY,2700,-350
26009,1076,433,MI,MICHIGAN,ANTRIM COUNTY,844,232
26011,1175,529,MI,MICHIGAN,ARENAC COUNTY,834,341
26013,530,231,MI,MICHIGAN,BARAGA COUNTY,402,128
26015,2545,860,MI,MICHIGAN,BARRY COUNTY,1386,1159
26017,7922,5333,MI,MICHIGAN,BAY COUNTY,8920,-998
26019,723,292,MI,MICHIGAN,BENZIE COUNTY,619,104
26021,11165,5093,MI,MICHIGAN,BERRIEN COUNTY,7616,3549
26023,2448,1507,MI,MICHIGAN,BRANCH COUNTY,2424,24
26025,11957,5073,MI,MICHIGAN,CALHOUN COUNTY,7383,4574
26027,3082,1296,MI,MICHIGAN,CASS COUNTY,1959,1123
26029,966,510,MI,MICHIGAN,CHARLEVOIX COUNTY,1009,-43
26031,1687,766,MI,MICHIGAN,CHEBOYGAN COUNTY,1219,468
26033,2053,1256,MI,MICHIGAN,CHIPPEWA COUNTY,2197,-144
26035,3404,2018,MI,MICHIGAN,CLARE COUNTY,3141,263
26037,2419,1165,MI,MICHIGAN,CLINTON COUNTY,1814,605
26039,1117,602,MI,MICHIGAN,CRAWFORD COUNTY,1042,75
26041,2297,1134,MI,MICHIGAN,DELTA COUNTY,2439,-142
26043,1385,768,MI,MICHIGAN,DICKINSON COUNTY,1583,-198
26045,5273,2277,MI,MICHIGAN,EATON COUNTY,3081,2192
26047,1147,542,MI,MICHIGAN,EMMET COUNTY,1210,-63
26049,42225,20436,MI,MICHIGAN,GENESEE COUNTY,29014,13211
26051,2012,1023,MI,MICHIGAN,GLADWIN COUNTY,1780,232
26053,1318,695,MI,MICHIGAN,GOGEBIC COUNTY,1280,38
26055,3471,1662,MI,MICHIGAN,GRAND TRAVERSE COUNTY,3782,-311
26057,2492,1312,MI,MICHIGAN,GRATIOT COUNTY,2312,180
26059,2902,1113,MI,MICHIGAN,HILLSDALE COUNTY,1653,1249
26061,1742,977,MI,MICHIGAN,HOUGHTON COUNTY,1893,-151
26063,1833,562,MI,MICHIGAN,HURON COUNTY,851,982
26065,20999,9228,MI,MICHIGAN,INGHAM COUNTY,12491,8508
26067,3461,1807,MI,MICHIGAN,IONIA COUNTY,2947,514
26069,2435,1420,MI,MICHIGAN,IOSCO COUNTY,2364,71
26071,865,163,MI,MICHIGAN,IRON COUNTY,271,594
26073,4071,2320,MI,MICHIGAN,ISABELLA COUNTY,3555,516
26075,10350,5073,MI,MICHIGAN,JACKSON COUNTY,6446,3904
26077,17053,10993,MI,MICHIGAN,KALAMAZOO COUNTY,17399,-346
26079,1170,498,MI,MICHIGAN,KALKASKA COUNTY,884,286
26081,36062,16606,MI,MICHIGAN,KENT COUNTY,23223,12839
26083,89,38,MI,MICHIGAN,KEWEENAW COUNTY,82,7
26085,1496,472,MI,MICHIGAN,LAKE COUNTY,731,765
26087,3917,1855,MI,MICHIGAN,LAPEER COUNTY,3566,351
26089,388,173,MI,MICHIGAN,LEELANAU COUNTY,473,-85
26091,5260,2061,MI,MICHIGAN,LENAWEE COUNTY,2990,2270
26093,4194,1443,MI,MICHIGAN,LIVINGSTON COUNTY,2724,1470
26095,451,226,MI,MICHIGAN,LUCE COUNTY,305,146
26097,501,209,MI,MICHIGAN,MACKINAC COUNTY,347,154
26099,53831,22208,MI,MICHIGAN,MACOMB COUNTY,36354,17477
26101,1694,751,MI,MICHIGAN,MANISTEE COUNTY,1316,378
26103,3229,1888,MI,MICHIGAN,MARQUETTE COUNTY,3359,-130
26105,2049,990,MI,MICHIGAN,MASON COUNTY,1692,357
26107,2681,1445,MI,MICHIGAN,MECOSTA COUNTY,2315,366
26109,1269,645,MI,MICHIGAN,MENOMINEE COUNTY,1262,7
26111,4448,2476,MI,MICHIGAN,MIDLAND COUNTY,4343,105
26113,929,339,MI,MICHIGAN,MISSAUKEE COUNTY,604,325
26115,7771,3729,MI,MICHIGAN,MONROE COUNTY,6044,1727
26117,4235,2205,MI,MICHIGAN,MONTCALM COUNTY,3610,625
26119,774,191,MI,MICHIGAN,MONTMORENCY COUNTY,286,488
26121,17301,8081,MI,MICHIGAN,MUSKEGON COUNTY,10936,6365
26123,3893,1611,MI,MICHIGAN,NEWAYGO COUNTY,2656,1237
26125,51353,20871,MI,MICHIGAN,OAKLAND COUNTY,32452,18901
26127,2073,864,MI,MICHIGAN,OCEANA COUNTY,1365,708
26129,2071,1116,MI,MICHIGAN,OGEMAW COUNTY,1822,249
26131,380,129,MI,MICHIGAN,ONTONAGON COUNTY,275,105
26133,1582,822,MI,MICHIGAN,OSCEOLA COUNTY,1184,398
26135,792,208,MI,MICHIGAN,OSCODA COUNTY,484,308
26137,1616,808,MI,MICHIGAN,OTSEGO COUNTY,1406,210
26139,8048,3758,MI,MICHIGAN,OTTAWA COUNTY,7325,723
26141,829,289,MI,MICHIGAN,PRESQUE ISLE COUNTY,498,331
26143,2297,1497,MI,MICHIGAN,ROSCOMMON COUNTY,2537,-240
26145,19078,13155,MI,MICHIGAN,SAGINAW COUNTY,20986,-1908
26147,10769,4442,MI,MICHIGAN,ST. CLAIR COUNTY,6316,4453
26149,3786,2019,MI,MICHIGAN,ST. JOSEPH COUNTY,3138,648
26151,2736,796,MI,MICHIGAN,SANILAC COUNTY,1202,1534
26153,562,344,MI,MICHIGAN,SCHOOLCRAFT COUNTY,593,-31
26155,4056,2021,MI,MICHIGAN,SHIAWASSEE COUNTY,3684,372
26157,3591,1512,MI,MICHIGAN,TUSCOLA COUNTY,2689,902
26159,5462,2026,MI,MICHIGAN,VAN BUREN COUNTY,3137,2325
26161,14496,6379,MI,MICHIGAN,WASHTENAW COUNTY,9260,5236
26163,214779,113435,MI,MICHIGAN,WAYNE COUNTY,154256,60523
26165,2748,1319,MI,MICHIGAN,WEXFORD COUNTY,2279,469
36000,1626534,655669,NY,NEW YORK,**NOT AVAILABLE**,1048379,578155
37001,14759,7241,NC,NORTH CAROLINA,ALAMANCE COUNTY,11346,3413
37003,2445,1258,NC,NORTH CAROLINA,ALEXANDER COUNTY,2007,438
37005,854,86,NC,NORTH CAROLINA,ALLEGHANY COUNTY,220,634
37007,3883,1983,NC,NORTH CAROLINA,ANSON COUNTY,2266,1617
37009,2243,201,NC,NORTH CAROLINA,ASHE COUNTY,329,1914
37011,1107,312,NC,NORTH CAROLINA,AVERY COUNTY,590,517
37013,5401,1337,NC,NORTH CAROLINA,BEAUFORT COUNTY,2349,3052
37015,2884,523,NC,NORTH CAROLINA,BERTIE COUNTY,1282,1602
37017,4555,1821,NC,NORTH CAROLINA,BLADEN COUNTY,3081,1474
37019,8782,2666,NC,NORTH CAROLINA,BRUNSWICK COUNTY,5116,3666
37021,20364,7745,NC,NORTH CAROLINA,BUNCOMBE COUNTY,13720,6644
