FIPS,Jan22 SNAP Households,Jan22 ACP Total Households,State,State Name,County Name,Oct22 ACP Total Households,Latest SNAP to ACP Difference
45043,4277,3059,SC,SOUTH CAROLINA,GEORGETOWN COUNTY,4445,-168
45045,21665,16320,SC,SOUTH CAROLINA,GREENVILLE COUNTY,27199,-5534
45047,5184,2365,SC,SOUTH CAROLINA,GREENWOOD COUNTY,3548,1636
45049,2051,677,SC,SOUTH CAROLINA,HAMPTON COUNTY,1006,1045
45051,18029,11590,SC,SOUTH CAROLINA,HORRY COUNTY,17363,666
45053,2170,396,SC,SOUTH CAROLINA,JASPER COUNTY,993,1177
45055,4386,1760,SC,SOUTH CAROLINA,KERSHAW COUNTY,2742,1644
45057,5098,1967,SC,SOUTH CAROLINA,LANCASTER COUNTY,3142,1956
45059,4886,3675,SC,SOUTH CAROLINA,LAURENS COUNTY,5568,-682
45061,2186,1072,SC,SOUTH CAROLINA,LEE COUNTY,1586,600
45063,13764,8540,SC,SOUTH CAROLINA,LEXINGTON COUNTY,14622,-858
45065,724,180,SC,SOUTH CAROLINA,MCCORMICK COUNTY,399,325
45067,4055,2961,SC,SOUTH CAROLINA,MARION COUNTY,4057,-2
45069,3111,1574,SC,SOUTH CAROLINA,MARLBORO COUNTY,2393,718
45071,2658,1313,SC,SOUTH CAROLINA,NEWBERRY COUNTY,1956,702
45073,3895,1789,SC,SOUTH CAROLINA,OCONEE COUNTY,2890,1005
45075,9360,6359,SC,SOUTH CAROLINA,ORANGEBURG COUNTY,8936,424
45077,5095,3459,SC,SOUTH CAROLINA,PICKENS COUNTY,5938,-843
45079,24656,18183,SC,SOUTH CAROLINA,RICHLAND COUNTY,28681,-4025
45081,1334,534,SC,SOUTH CAROLINA,SALUDA COUNTY,919,415
45083,17515,13502,SC,SOUTH CAROLINA,SPARTANBURG COUNTY,21378,-3863
45085,9456,6729,SC,SOUTH CAROLINA,SUMTER COUNTY,10110,-654
45087,2660,1970,SC,SOUTH CAROLINA,UNION COUNTY,2869,-209
45089,4291,2207,SC,SOUTH CAROLINA,WILLIAMSBURG COUNTY,3407,884
45091,10422,4174,SC,SOUTH CAROLINA,YORK COUNTY,6213,4209
08,0,201,CO,COLORADO,**NOT AVAILABLE**,54,-54
24,0,339,MD,MARYLAND,**NOT AVAILABLE**,49,-49
26,0,241,MI,MICHIGAN,**NOT AVAILABLE**,83,-83
37,0,340,NC,NORTH CAROLINA,**NOT AVAILABLE**,147,-147
42,0,160,PA,PENNSYLVANIA,**NOT AVAILABLE**,86,-86
45,0,121,SC,SOUTH CAROLINA,**NOT AVAILABLE**,60,-60
